ID,Date_birth,Date_driving_licence,Premium,Power,Cylinder_capacity,Value_vehicle,N_doors,Type_fuel,Length,Weight
21473,1956-12-03,1974-12-12,57.51,110,1398,17010.0,5,D,4.021,1163
21719,1989-12-04,2007-12-11,53.95,80,1870,17210.0,4,D,4.436,1140
22416,1966-09-06,1985-09-01,79.64,100,1499,19490.0,5,D,4.418,1431
22707,1982-05-27,2006-02-22,50.58,115,1753,21190.0,3,D,4.372,1416
22711,1977-01-01,1996-05-01,53.37,105,1870,16090.0,2,D,3.931,1105
22719,1983-05-14,2003-02-14,65.18,95,1560,20370.0,5,D,4.418,1577
22751,1947-02-06,1966-07-01,65.55,110,1979,8093.23,4,P,4.652,1126
22761,1948-08-02,1994-11-29,62.29,298,4196,95600.0,4,P,5.22,1639
22767,1970-10-26,1995-09-06,61.79,109,1560,20100.0,5,D,4.468,1316
22768,1946-05-04,1966-07-17,60.02,88,2998,17489.45,4,D,4.725,1600
22768,1946-05-04,1966-07-17,62.42,88,2998,17489.45,4,D,4.725,1600
22853,1956-01-11,1974-02-01,58.18,78,2286,17003.35,2,D,4.355,2200
22859,1954-01-01,1975-01-18,64.15,101,1998,12242.62,3,P,4.394,1060
22900,1957-06-24,1975-09-22,61.18,75,1997,20878.68,4,D,4.43,1180
22912,1958-03-28,1978-01-01,64.72,215,1990,22483.86,2,P,4.325,1145
22985,1959-07-06,1984-04-02,71.13,90,1560,20700.0,5,D,4.275,1182
23000,1960-12-27,1980-10-15,65.01,97,1986,9616.19,4,P,4.78,1270
23003,1961-02-03,1982-01-01,65.66,84,2820,13630.95,3,D,4.23,1800
23025,1943-07-10,1970-05-01,60.42,72,2445,7861.08,4,D,4.264,1145
23037,1943-07-01,1967-11-14,58.58,115,1598,17900.0,3,P,3.626,1075
23221,1964-11-21,1984-01-01,62.56,90,2497,29264.6,4,D,4.43,1230
23242,1966-07-27,1984-09-28,59.71,97,1994,22802.4,3,D,4.38,1525
