Premium,Power,Cylinder_capacity,Value_vehicle,N_doors,Length,Weight,Age,Driving_experience,FuelType_D,FuelType_P
275.98,105,1896,20692.68,5,4.28,1405,52,25,1,0
298.64,110,1560,23460.0,5,4.5,1495,40,20,1,0
296.76,90,1997,19790.0,5,4.202,1243,74,50,1,0
452.23,110,1560,23540.0,3,4.274,1205,33,14,1,0
311.25,207,2720,45400.0,4,4.877,1735,71,45,1,0
263.68,72,1998,28074.48,4,4.755,1310,68,38,1,0
438.56,100,1896,13716.3,5,3.815,1050,68,28,0,1
320.03,86,1896,20436.88,2,4.89,1665,68,49,1,0
324.27,116,999,24658.97,5,4.234,1270,67,48,0,1
336.21,85,1997,20300.0,5,4.749,1755,66,39,1,0
431.57,125,2799,28070.0,2,6.919,2068,64,45,1,0
595.19,150,1798,31800.0,5,4.295,1585,64,45,1,0
276.29,75,1974,13450.65,5,4.12,1225,61,35,1,0
292.17,94,2476,15416.0,5,4.82,1689,61,38,1,0
307.06,112,1991,14700.0,5,4.495,1357,60,41,1,0
271.7,90,1753,16894.45,4,4.48,1386,59,40,1,0
390.19,100,1598,15280.0,5,4.11,1165,28,6,0,1
223.15,100,1896,22100.0,5,4.081,1251,28,6,0,1
330.07,110,1560,23750.0,5,4.276,1318,55,33,1,0
349.89,90,1997,19379.0,5,4.188,1200,56,35,1,0
346.51,100,1896,14980.0,3,3.916,1127,55,37,1,0
289.56,85,1390,16000.0,5,4.315,1205,56,37,0,1
242.37,115,1905,15938.84,4,4.167,1151,54,35,1,0
297.79,100,1896,20314.21,5,4.149,1316,55,28,1,0
283.51,90,1396,18950.54,5,4.31,1365,53,34,1,0
345.85,130,1910,19295.0,5,4.03,1205,48,22,1,0
312.8,120,1560,26100.0,5,4.384,1398,47,29,1,0
299.48,130,1956,25800.0,5,4.83,1538,46,26,1,0
232.01,110,1560,27940.0,5,4.365,1350,47,27,1,0
312.43,120,1956,28109.99,5,4.842,1538,47,29,1,0
333.72,100,1560,24235.01,5,4.384,1374,48,15,1,0
404.9,130,1896,16411.0,3,3.953,1192,39,21,1,0
255.16,75,2283,12573.17,6,4.49,1505,37,18,1,0
334.03,136,2143,33297.45,5,4.393,1505,39,20,1,0
303.14,115,1753,19090.0,5,4.342,1406,47,29,1,0
132.67,110,1997,22410.0,5,4.419,1421,42,18,1,0
451.41,115,1995,27350.0,5,5.182,1724,84,60,1,0
291.53,75,1390,12705.0,5,3.916,1021,43,23,0,1
529.54,110,1560,25390.0,4,4.676,1437,65,47,1,0
358.84,109,1560,20860.0,5,4.333,1344,81,61,1,0
319.16,177,2597,43700.0,4,4.818,1495,61,29,0,1
254.9,100,1596,16060.0,3,4.342,1242,70,51,0,1
333.46,100,1399,13110.0,3,3.916,1068,70,51,0,1
181.34,86,1461,14500.0,5,3.734,1061,53,34,1,0
369.47,115,2463,26680.0,5,4.899,1837,51,30,1,0
282.75,90,1560,14850.0,5,3.916,1053,44,25,1,0
260.27,75,1974,13450.65,5,4.12,1225,83,48,1,0
481.35,100,1596,12561.15,5,4.174,1077,81,31,0,1
