Premium,Value_vehicle,Length,Weight,Age,Driving_experience
246.42,18180.0,4.137,1311,78,59
390.27,12035.27,4.43,1017,80,53
279.42,10205.19,3.741,1035,80,53
397.18,20300.0,4.419,1328,80,53
253.86,15450.0,4.137,1267,82,60
323.67,29150.0,4.423,1565,84,55
224.19,13230.97,4.388,1205,81,48
210.92,11555.0,3.88,1060,83,52
260.2,12873.68,4.108,1185,81,59
472.01,38800.0,4.856,1807,79,58
310.6,18066.21,4.633,1330,79,53
294.84,15690.0,4.11,1205,79,53
250.7,16130.85,3.986,1015,80,50
262.91,24030.0,4.005,1495,81,54
261.56,15360.67,4.03,1230,79,34
537.12,29300.0,4.765,1710,79,28
290.51,19540.0,4.655,1635,78,58
306.7,25734.6,4.89,1790,76,57
237.7,18300.0,4.137,1220,77,47
330.27,24440.37,4.145,1730,44,26
202.55,18070.0,4.51,1230,79,55
334.84,18450.0,4.078,1277,82,58
248.13,13955.5,4.05,1115,40,21
341.21,13040.0,4.157,1205,51,32
442.35,34500.0,4.52,1430,42,15
251.12,13913.43,4.174,1194,75,56
347.01,14517.0,3.953,1106,76,57
306.59,37800.0,4.64,1625,75,56
257.35,33903.09,4.78,1500,74,50
309.01,20700.0,4.337,1303,76,56
273.14,13426.61,3.995,1060,74,52
296.47,11425.24,4.302,1020,74,45
230.45,15355.0,4.159,1235,75,36
223.43,18010.0,4.397,1179,75,56
275.26,20140.0,5.005,1735,76,43
238.87,9225.54,3.74,1150,76,44
220.62,17128.84,4.129,1145,73,44
367.82,20000.0,4.6,1405,74,55
273.44,12356.81,4.138,1147,73,53
153.68,10756.24,3.815,1070,73,53
303.04,18070.0,4.436,1150,73,49
290.01,19570.0,4.211,1262,36,18
262.55,16230.0,3.97,1185,36,18
315.43,16167.23,4.685,1350,71,53
224.47,14792.0,3.85,1014,72,24
204.75,26560.0,4.493,1530,36,17
346.35,23020.0,4.782,1716,75,28
319.41,22265.0,4.184,1301,70,51
272.61,28160.0,4.69,1786,71,32
299.96,18027.96,4.48,1110,73,46
264.35,27550.01,4.438,1371,70,47
402.72,18770.0,4.213,1319,70,41
211.94,18598.0,4.188,1200,43,23
191.74,20877.0,4.35,1467,71,46
228.78,18943.0,4.276,1300,70,51
205.89,17205.0,4.188,1200,72,32
227.82,24885.0,4.618,1385,70,51
646.96,27210.0,4.206,1447,69,51
304.38,24785.74,5.36,2093,70,51
346.36,15410.0,4.308,1399,70,51
398.66,34954.2,4.49,1410,70,51
325.09,33656.68,4.775,1545,64,39
250.08,16490.0,4.28,1266,70,48
200.67,10253.27,3.817,1070,72,50
248.6,15970.0,3.916,1089,47,29
418.36,24575.38,4.69,1780,70,49
196.97,16645.0,4.336,1320,69,44
463.34,16380.0,4.03,1144,70,48
257.23,22390.0,4.3,1282,70,46
285.9,32850.0,4.66,1929,40,20
544.38,24300.0,4.33,1418,66,46
332.88,30500.0,4.215,1410,68,45
313.68,42670.0,4.86,1637,68,47
232.26,17480.0,4.174,1122,68,47
407.73,18780.0,3.962,1155,71,50
318.56,20265.0,4.342,1371,68,37
259.44,11978.17,4.11,1130,68,18
289.81,25260.0,4.576,1350,70,50
274.5,14385.0,3.916,1061,40,22
215.39,12873.68,4.108,1185,67,49
265.88,22910.0,4.576,1270,69,50
284.0,33903.09,4.78,1500,65,44
541.32,20070.0,4.18,1290,66,48
690.01,39900.0,4.652,1500,67,44
247.22,14574.54,4.174,1221,66,28
241.59,14896.95,4.11,1120,65,40
218.53,17723.85,4.524,1312,67,49
279.87,24100.0,4.344,1385,67,49
229.82,16830.0,4.202,1176,64,32
276.74,14965.2,4.129,1055,68,43
219.18,18598.0,4.188,1200,66,47
245.93,12080.0,3.741,1040,66,26
561.85,19270.0,4.017,1339,66,26
613.13,20700.0,4.315,1250,36,18
259.34,15295.76,4.025,1180,68,44
288.86,20330.0,4.137,1230,65,46
248.36,30194.85,4.77,1810,66,44
285.28,14875.0,4.035,1055,66,44
246.9,15866.72,4.129,1150,66,36
239.32,18090.0,4.342,1357,67,38
657.09,36270.0,4.711,1500,66,45
298.27,20528.86,4.4,1260,67,46
238.42,22270.0,4.29,1333,40,16
228.6,23640.0,4.675,1361,66,44
407.81,16430.0,3.999,1180,65,32
213.85,15363.67,4.61,1820,66,47
448.5,40267.81,4.775,1650,65,46
197.25,19005.0,4.276,1290,65,47
243.51,23160.0,4.576,1315,64,19
326.92,19690.0,4.419,1390,66,48
322.49,21400.0,4.888,1774,65,47
246.36,30220.0,4.735,1575,65,47
373.66,27429.99,4.38,1398,66,47
259.8,20950.0,4.276,1290,64,45
295.56,13738.0,3.953,1106,64,45
259.7,19190.0,4.26,1182,64,45
260.13,20060.0,4.276,1293,64,45
311.27,21080.0,4.834,1866,66,48
253.28,19379.0,4.188,1200,64,45
392.74,25270.0,4.545,1556,64,45
243.98,15431.0,4.137,1295,64,45
227.13,15476.06,4.616,1608,64,46
240.77,17740.0,4.26,1182,66,44
346.0,36100.0,4.624,1420,63,41
217.81,10820.0,3.916,1014,63,41
487.24,15665.0,4.045,1127,64,45
272.06,39149.93,3.995,1325,64,46
221.85,17205.0,4.188,1200,64,46
847.88,19900.0,4.302,1205,64,46
590.94,14165.82,4.045,1029,65,30
372.16,19350.0,4.337,1310,65,47
281.69,19170.0,4.29,1195,64,41
422.99,17874.1,4.6,1350,64,41
165.76,28514.99,4.475,1379,64,37
330.18,19364.8,4.11,1245,67,30
266.32,19380.0,4.26,1182,62,41
268.64,18670.0,4.44,1400,61,34
431.44,17470.0,4.427,1165,63,38
376.94,22605.0,4.199,1239,62,44
554.33,27000.0,4.765,1710,64,34
327.34,25921.0,4.47,1590,64,46
375.33,35567.95,5.549,1967,65,8
316.99,22450.0,4.315,1320,64,44
228.82,15926.82,4.63,1340,64,44
401.78,25240.0,4.3,1281,65,45
306.27,19893.5,4.355,1785,63,45
245.53,25360.0,4.152,1200,63,45
555.21,19382.64,5.902,1691,63,45
268.79,16682.76,4.38,1397,63,39
469.09,7800.0,4.25,1050,63,36
322.3,22470.0,4.02,1426,63,45
276.57,21909.0,5.182,1728,66,47
700.76,50150.0,4.916,1765,63,44
328.93,14710.0,3.839,1080,64,45
269.61,12891.0,4.425,1210,64,44
407.23,16815.0,4.052,1125,65,47
232.48,26300.0,4.661,1505,65,47
235.63,11425.24,4.302,1020,62,35
260.96,17350.0,4.395,1132,62,43
314.12,21985.0,4.439,1314,63,44
472.28,22350.0,4.5,1495,62,44
290.55,16610.0,4.555,1399,63,38
350.42,44223.11,4.818,1650,63,38
399.13,17669.76,4.731,1337,29,9
172.88,15145.0,3.85,1089,63,44
245.02,24950.0,4.695,1462,62,44
264.92,14857.02,3.88,1096,57,37
301.68,25090.0,4.41,1415,57,37
453.88,25330.0,4.366,1385,57,37
339.93,19751.12,4.315,1250,62,44
251.23,20734.92,4.655,1725,62,40
394.62,18340.0,4.202,1243,62,44
298.42,21610.0,4.276,1322,65,30
301.81,26700.0,4.149,1188,61,42
497.04,38850.0,4.527,1505,61,41
341.63,17920.0,4.197,1296,62,36
437.78,21070.0,4.597,1427,37,19
240.75,14625.0,4.163,1159,62,42
359.55,20548.6,4.6,1390,62,44
477.65,21500.0,4.273,1200,61,43
265.1,17597.63,4.315,1220,61,32
279.95,28799.99,4.71,1515,62,33
286.76,27205.0,4.747,1485,62,40
236.71,17681.78,4.43,1146,62,40
227.07,13300.0,4.182,1165,61,43
246.08,13300.0,4.182,1165,61,43
734.8,34500.0,4.52,1430,61,39
294.21,21599.2,4.889,1795,61,36
184.52,13041.6,4.159,1290,61,43
357.44,17180.0,4.03,1180,63,42
413.03,25270.0,4.765,1348,61,43
253.27,21080.0,4.157,1160,63,45
275.61,18107.29,4.53,1170,62,42
192.1,27450.0,4.598,1350,62,42
264.37,15750.0,4.18,1350,62,44
262.39,18510.0,4.182,1265,62,44
279.44,25000.0,4.357,1453,61,37
244.1,17205.0,4.188,1200,60,42
352.78,23239.54,4.317,1428,60,30
261.72,28370.87,5.182,1748,60,30
329.08,17627.69,4.453,1190,60,41
268.69,27050.0,4.611,1428,63,38
252.36,19035.0,4.439,1286,59,40
183.7,19984.0,4.355,1690,61,42
295.56,23340.0,4.596,1450,60,41
273.1,26985.45,4.656,1890,59,40
335.2,26755.94,4.47,1414,60,22
317.4,15280.0,4.159,1320,59,29
330.21,20460.0,4.44,1595,59,41
264.26,22458.95,4.406,1399,33,15
725.73,23400.0,4.3,1310,60,40
363.3,22200.0,4.387,1306,59,41
340.52,21360.0,4.439,1286,62,42
252.66,18871.78,4.675,1900,60,40
375.59,24211.0,4.567,1293,62,43
230.75,19099.95,4.524,1312,60,42
248.05,20109.87,4.65,1520,59,38
304.16,24240.0,4.6,1410,61,35
433.63,29249.45,4.57,1535,61,41
706.33,31200.0,4.471,1415,61,28
346.15,17030.0,4.252,1325,59,27
489.65,26580.0,4.745,1486,59,27
392.67,27106.88,4.748,1790,61,39
450.0,18997.99,4.42,1170,61,39
346.64,21250.0,4.315,1297,60,36
352.19,14873.3,3.953,1165,59,41
198.98,21245.78,4.845,2040,60,41
242.82,19751.12,4.315,1250,60,41
689.17,27310.0,4.769,1424,59,41
115.27,13740.0,3.916,1089,59,41
193.11,16848.59,4.33,1150,60,42
315.76,23190.0,4.482,1190,60,42
315.24,27800.0,4.5,1718,59,37
354.11,18440.0,4.454,1234,58,34
223.81,23884.4,5.477,2017,56,30
280.62,20845.0,4.498,1215,60,31
239.9,11960.14,4.394,1015,57,24
609.75,31600.0,4.443,1538,61,43
238.16,26283.82,4.254,1680,58,39
294.68,13450.65,4.12,1225,58,34
226.11,35844.36,4.58,1380,60,41
281.5,21213.0,5.182,1728,59,39
366.02,17030.0,3.916,1089,59,39
538.51,21699.99,4.14,1185,59,39
286.36,18943.0,4.276,1300,58,37
156.09,18594.55,4.137,1144,59,40
266.81,26684.94,4.869,1461,70,34
786.32,16150.0,4.315,1190,46,26
207.83,12230.6,4.11,1155,68,39
311.35,21456.13,4.52,1365,65,46
296.68,13540.81,3.88,1124,54,27
288.31,36186.94,4.775,1585,77,27
282.48,22930.0,4.745,1377,55,35
450.8,26489.63,5.189,1850,52,24
343.61,11760.0,3.822,1025,38,19
236.91,14792.0,3.85,1014,57,33
315.38,23880.0,4.152,1260,72,48
297.88,18310.0,4.164,1280,66,47
271.59,18415.01,4.02,1309,65,36
403.94,14153.84,4.74,1425,65,36
354.69,20840.0,4.26,1205,61,43
896.86,32311.8,5.91,1934,57,32
216.02,14420.0,3.865,1055,56,36
186.54,24640.0,4.596,1448,43,22
237.24,13913.43,4.174,1194,60,42
542.51,25390.0,4.676,1437,36,15
263.72,14661.0,3.953,1151,48,26
507.15,23850.0,4.782,1773,75,34
338.2,20645.0,4.223,1210,79,28
534.28,20430.0,4.572,1310,80,55
419.33,35900.0,4.315,1595,81,60
219.04,67774.99,4.819,2175,72,49
202.9,13255.38,4.108,1155,72,54
383.5,18054.39,4.253,1405,74,51
360.87,15649.99,4.159,1120,70,51
324.98,18620.0,4.209,1175,70,47
365.72,19154.26,5.107,1630,69,48
355.06,15250.01,3.992,1055,66,48
221.61,25642.42,3.973,1180,63,40
276.37,19889.0,4.315,1290,63,36
342.42,29450.0,4.628,1517,62,29
283.72,24350.0,4.493,1490,63,19
243.53,22830.0,4.556,1361,61,27
